plantedAcreage,production,yield,price,barley,corn,oats,sorghum
17.08,672.7,51.6,0.99,9.17,55.39,18.52,13.03
16.37,714.99,55.8,1.02,10.25,57,17.88,12.81
18.95,755.34,50.4,0.99,9.23,60.69,16.11,14.99
17.79,731.28,52.6,0.95,9.73,55.98,17.71,13.89
17.23,729.92,54.3,1.07,9.56,54.57,17.97,13.44
16.96,683.18,50.4,1.14,9.71,57.36,18.59,13.57
20.55,868,53.8,1.04,10.1,64.12,15.71,16.14
17.04,801.35,60.7,1.37,9.65,57.51,13.41,13.21
18.99,923.22,58.8,2.14,10.3,62.14,13.77,15.7
17.59,622.71,45.1,2.77,7.93,65.41,12.61,13.81
18.08,754.35,49,2.36,8.62,67.63,13.04,15.4
18.14,710.8,49.1,2.03,8.44,71.51,11.83,14.47
16.64,780.94,56.6,1.82,9.73,71.61,13.49,13.8
16.2,731.27,54.5,2.01,9.25,71.93,11.13,13.41
15.28,807.42,62.6,2.35,7.53,72.4,9.68,12.9
15.64,579.34,46.3,2.91,7.26,72.96,8.66,12.51
15.93,875.84,64,2.25,9.04,74.52,9.41,13.68
16.03,835.08,59.1,2.47,9.01,72.72,10.26,14.14
11.88,487.52,48.7,2.74,9.72,51.48,9.06,10
17.25,866.24,56.4,2.32,11.22,71.9,8.16,15.36
18.29,1120.27,66.8,1.93,11.59,75.21,8.15,16.78
15.34,938.87,67.7,1.37,11.97,68.91,6.84,13.86
11.76,730.81,69.4,1.7,9.96,59.51,6.89,10.53
10.34,576.69,63.8,2.27,7.64,58.25,5.53,9.04
12.64,615.42,55.4,2.1,8.31,64.78,6.88,11.1
10.54,573.3,63.1,2.12,7.53,66.95,5.95,9.09
11.06,584.86,59.3,2.25,8.41,68.82,4.82,9.87
13.18,875.02,72.6,1.89,7.29,72.08,4.5,12.05
9.88,534.17,59.9,2.31,6.75,62.93,3.8,8.92
9.79,645.74,72.7,2.13,6.67,72.51,4.01,8.88
9.43,458.65,55.6,3.19,6.28,65.21,2.95,8.25
13.1,795.27,67.3,2.34,6.71,72.64,2.66,11.81
10.05,633.55,69.2,2.21,6.2,72.67,2.81,9.16
9.63,519.93,67.3,1.66,5.85,72.59,2.75,7.72
9.29,595.17,69.7,1.57,4.57,70.49,2.45,8.54
9.2,470.53,60.9,1.89,5.2,72.44,2.33,7.73
10.25,514.04,59.9,1.94,4.27,68.77,1.91,8.58
9.59,360.71,50.6,2.32,4.12,69.33,2.06,7.13
9.42,411.22,52.7,2.39,4.73,70.94,2.22,7.8
7.49,453.61,69.6,1.79,4.02,73.63,1.79,6.52
6.45,392.74,68.5,1.86,3.27,75.12,1.82,5.74
6.52,276.82,56.1,3.29,2.95,70.64,1.56,4.94
7.71,497.45,73.2,4.08,3.5,86.52,1.5,6.79
8.4,475.86,65.1,3.2,3.78,78.57,1.41,7.31
6.6,381.61,69.4,3.22,3.11,79.49,1.34,5.5
5.37,345.46,71.9,5.02,2.47,81.45,1.27,4.81
5.45,212.99,54,5.99,2.24,83.88,0.88,3.95
6.26,247.74,49.6,6.33,3.27,87.37,1.01,5
8.08,392.33,59.6,4.28,3.04,87.45,1.01,6.59
7.14,432.58,67.6,4.03,2.5,83.14,1.04,6.4
8.46,596.75,76.01,3.31,3.16,80.75,1.28,7.85
6.76,466.61,77.19,3.4,2.56,86.84,0.98,6.05
